id,nombre,descripcion,categoria,precio,imagen,codigo,stock
2198,Tijera Soft hogar Smart,Tijera Soft hogar Smart,Papeleria,52,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257117261.jpg,787257117261,1
2199,Tijera soft Oficina Smart,Tijera soft Oficina Smart,Papeleria,39,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257117292.jpg,787257117292,0
2200,Tijera Zig Zag Smarty,Tijera Zig Zag Smarty, ,24,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257117209.jpg,787257117209,9999
2201,Tijeras Hogar Smart,Tijeras Hogar Smart, ,52,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257117292.jpg,787257117292,9997
2202,"Tijeras para hojalatero 10"" Pretul","Tijeras para hojalatero 10"" Pretul",Ferreteria,189,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240601944.jpg,7506240601944,0
2203,Tijeras Pelikan ,Tijeras Pelikan , ,18,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501015207246.jpg,7501015207246,4
2204,Tijeras Smarty,Tijeras Smarty, ,16,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257127543.jpg,787257127543,9995
2205,Tijeras Smarty,Tijeras Smarty, ,14,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/787257117117.jpg,787257117117,9996
2206,Tijeras soft gel Maped,Tijeras soft gel Maped,Papeleria,53,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/3154144962100.jpg,3154144962100,0
2207,Tijeras Soft Maped,Tijeras Soft Maped,Papeleria,68,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/3154144992107.jpg,3154144992107,-1
2208,Timbre De Sobreponer Volteck,Timbre De Sobreponer Volteck, ,13,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206658550.jpg,7501206658550,8
2209,Timbre Ding Dong Fulgore,Timbre Ding Dong Fulgore, ,89,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/562165156.jpg,562165156,9999
2210,Timbre inalambrico 36 tonos 150m Volteck,Timbre inalambrico 36 tonos 150m Volteck,Ferreteria,258,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240622338.jpg,7506240622338,1
2211,Timbre Zumbador Royer,Timbre Zumbador Royer,Ferreteria,55,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/5165135163.jpg,5165135163,9999
2212,Tinaco Eco 1100L S/Accesorios Rotoplas,Tinaco Eco 1100L S/Accesorios Rotoplas, ,1765,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/468125616510.jpg,468125616510,9999
2213,Tinaco Tricapa C/Accesorios Rotoplas,Tinaco Tricapa C/Accesorios Rotoplas, ,2450,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/56130315321.jpg,56130315321,9999
2214,Tornillo 3/16x2 1/2 estufa Fiero,Tornillo 3/16x2 1/2 estufa Fiero,Ferreteria,1.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240601258.jpg,7506240601258,100
2215,Tornillo 3/16x2 estufa Fiero,Tornillo 3/16x2 estufa Fiero,Ferreteria,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7506240601241.jpg,7506240601241,74
2216,Tornillo Acero 7/16x1 1/2,Tornillo Acero 7/16x1 1/2, ,2.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/16513516.jpg,16513516,9981
2217,Tornillo Acero Tipo Estufa 5/32x1,Tornillo Acero Tipo Estufa 5/32x1, ,0.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/5613516434.jpg,5613516434,9980
2218,Tornillo Acero Tipo Estufa 5/32x1/2,Tornillo Acero Tipo Estufa 5/32x1/2, ,0.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/8484165423.jpg,8484165423,9998
2219,Tornillo Acero Tipo Estufa 5/32x2,Tornillo Acero Tipo Estufa 5/32x2, ,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/652622363.jpg,652622363,9969
2220,Tornillo Acero Tipo Maquina 1/4x1,Tornillo Acero Tipo Maquina 1/4x1, ,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/4941651651.jpg,4941651651,9922
2221,Tornillo Acero Tipo Maquina 1/4x1/2,Tornillo Acero Tipo Maquina 1/4x1/2, ,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/15613511.jpg,15613511,9995
2222,Tornillo Acero Tipo Maquina 1/4x2,Tornillo Acero Tipo Maquina 1/4x2, ,1.5,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/651256465464.jpg,651256465464,9937
2223,Tornillo Acero Tipo Maquina 1/4x3,Tornillo Acero Tipo Maquina 1/4x3,Ferreteria,2,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7516416515.jpg,7516416515,-43
2224,Tornillo Acero Tipo Maquina 1/4x3/4,Tornillo Acero Tipo Maquina 1/4x3/4, ,1,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/5665126584.jpg,5665126584,9999
2225,Tornillo Acero Tipo Maquina 7/16x2,Tornillo Acero Tipo Maquina 7/16x2, ,4,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/5646165416.jpg,5646165416,9982
2226,Tornillo Acero Tipo Maquina 7/6x1,Tornillo Acero Tipo Maquina 7/6x1, ,2,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/561231654.jpg,561231654,9989
